-1.0 	 0.5012 	 0.692 	 -4.449 	 -3.757
-1.0 	 0.5012 	 20.647 	 -0.104 	 20.543
-1.0 	 0.5012 	 0.508 	 -2.148 	 -1.64
-1.0 	 0.5012 	 0.527 	 -3.11 	 -2.583
-1.0 	 0.5012 	 0.913 	 -2.544 	 -1.63
-1.0 	 0.5012 	 1.049 	 -3.505 	 -2.456
-1.0 	 0.5012 	 0.716 	 -3.57 	 -2.854
-1.0 	 0.5012 	 0.52 	 -2.592 	 -2.073
-1.0 	 0.5012 	 0.867 	 -1.482 	 -0.615
-1.0 	 0.5012 	 0.644 	 -2.241 	 -1.598
-1.0 	 0.5012 	 0.874 	 -4.714 	 -3.84
-1.0 	 0.5012 	 0.737 	 -3.951 	 -3.214
-1.0 	 0.5012 	 0.577 	 -3.531 	 -2.954
-1.0 	 0.5012 	 1.526 	 1.953 	 3.478
-1.0 	 0.5012 	 0.597 	 -3.321 	 -2.724
-1.0 	 0.5012 	 0.713 	 -4.022 	 -3.309
-1.0 	 0.5012 	 0.769 	 -4.349 	 -3.58
-1.0 	 0.5012 	 0.775 	 -4.302 	 -3.527
-1.0 	 0.5012 	 0.69 	 -4.471 	 -3.781
-1.0 	 0.5012 	 0.669 	 -2.013 	 -1.344
-1.0 	 0.5012 	 0.576 	 -3.041 	 -2.465
-1.0 	 0.5012 	 0.642 	 -1.573 	 -0.931
-1.0 	 0.5012 	 0.535 	 -2.997 	 -2.462
-1.0 	 0.5012 	 0.479 	 -2.206 	 -1.727
-1.0 	 0.5012 	 0.659 	 -0.815 	 -0.156
-1.0 	 0.5012 	 0.882 	 3.843 	 4.725
-1.0 	 0.5012 	 0.628 	 -3.149 	 -2.521
-1.0 	 0.5012 	 0.636 	 -3.914 	 -3.278
-1.0 	 0.5012 	 0.676 	 -3.776 	 -3.1
-1.0 	 0.5012 	 0.623 	 -3.563 	 -2.94
-1.0 	 0.5012 	 0.596 	 -1.809 	 -1.214
-1.0 	 0.5012 	 0.56 	 -1.719 	 -1.159
-1.0 	 0.5012 	 0.552 	 -0.721 	 -0.169
-1.0 	 0.5012 	 0.625 	 -1.736 	 -1.111
-1.0 	 0.5012 	 0.531 	 -2.217 	 -1.687
-1.0 	 0.5012 	 0.551 	 0.46 	 1.011
-1.0 	 0.5012 	 0.645 	 -3.003 	 -2.358
-1.0 	 0.5013 	 0.572 	 -1.887 	 -1.315
-1.0 	 0.5013 	 0.572 	 -3.202 	 -2.629
-1.0 	 0.5013 	 0.595 	 -0.867 	 -0.272
-1.0 	 0.5013 	 0.478 	 -0.648 	 -0.169
-1.0 	 0.5013 	 0.533 	 0.503 	 1.037
-1.0 	 0.5013 	 0.619 	 -0.935 	 -0.317
-1.0 	 0.5013 	 0.472 	 -1.453 	 -0.981
-1.0 	 0.5013 	 0.461 	 -2.17 	 -1.709
-1.0 	 0.5013 	 0.574 	 -1.995 	 -1.421
-1.0 	 0.5013 	 0.307 	 -2.038 	 -1.731
-1.0 	 0.5013 	 0.909 	 1.902 	 2.811
-1.0 	 0.5013 	 0.342 	 -1.412 	 -1.07
-1.0 	 0.5013 	 0.634 	 -3.471 	 -2.837
-1.0 	 0.5013 	 0.617 	 -3.522 	 -2.905
-1.0 	 0.5013 	 0.628 	 -3.532 	 -2.904
-1.0 	 0.5013 	 0.592 	 -2.236 	 -1.644
-1.0 	 0.5013 	 0.51 	 -1.823 	 -1.313
-1.0 	 0.5013 	 0.542 	 -2.229 	 -1.687
-1.0 	 0.5013 	 0.359 	 2.696 	 3.055
-1.0 	 0.5013 	 0.304 	 -0.36 	 -0.057
-1.0 	 0.5013 	 0.598 	 2.463 	 3.061
-1.0 	 0.5013 	 0.255 	 -0.515 	 -0.259
-1.0 	 0.5013 	 0.47 	 -1.461 	 -0.992
-1.0 	 0.5013 	 1.147 	 8.192 	 9.339
-1.0 	 0.5013 	 0.376 	 -1.073 	 -0.697
-1.0 	 0.5013 	 0.58 	 -4.097 	 -3.517
-1.0 	 0.5013 	 0.551 	 -3.995 	 -3.444
-1.0 	 0.5013 	 0.615 	 -4.115 	 -3.5
-1.0 	 0.5013 	 0.469 	 -3.259 	 -2.79
-1.0 	 0.5013 	 0.388 	 0.728 	 1.116
-1.0 	 0.5013 	 0.561 	 -2.881 	 -2.321
-1.0 	 0.5013 	 0.531 	 -3.133 	 -2.603
-1.0 	 0.5013 	 0.37 	 -0.848 	 -0.478
-1.0 	 0.5013 	 0.353 	 -0.741 	 -0.388
-1.0 	 0.5013 	 0.657 	 6.408 	 7.065
-1.0 	 0.5013 	 0.98 	 7.19 	 8.17
-1.0 	 0.5013 	 0.231 	 1.259 	 1.49
-1.0 	 0.5013 	 0.482 	 -3.117 	 -2.635
-1.0 	 0.5013 	 0.217 	 -2.643 	 -2.426
-1.0 	 0.5013 	 0.343 	 -2.854 	 -2.511
-1.0 	 0.5013 	 0.568 	 -3.133 	 -2.564
-1.0 	 0.5013 	 0.558 	 -3.06 	 -2.502
-1.0 	 0.5013 	 0.274 	 -0.282 	 -0.008
-1.0 	 0.5013 	 0.28 	 -1.865 	 -1.585
-1.0 	 0.5013 	 0.793 	 13.109 	 13.902
-1.0 	 0.5013 	 0.652 	 3.177 	 3.829
-1.0 	 0.5013 	 0.756 	 7.89 	 8.645
-1.0 	 0.5013 	 0.568 	 -3.856 	 -3.287
-1.0 	 0.5013 	 0.718 	 -4.827 	 -4.11
-1.0 	 0.5013 	 0.631 	 -2.415 	 -1.784
-1.0 	 0.5013 	 0.642 	 -1.077 	 -0.435
-1.0 	 0.5013 	 0.597 	 -1.892 	 -1.295
-1.0 	 0.5013 	 0.583 	 -1.618 	 -1.036
-1.0 	 0.5013 	 0.568 	 -1.901 	 -1.333
-1.0 	 0.5013 	 0.551 	 -0.961 	 -0.41
-1.0 	 0.5013 	 0.602 	 0.548 	 1.15
-1.0 	 0.5013 	 0.534 	 -2.424 	 -1.89
-1.0 	 0.5013 	 0.532 	 -2.699 	 -2.167
-1.0 	 0.5013 	 0.434 	 -1.252 	 -0.818
-1.0 	 0.5013 	 2.834 	 29.079 	 31.912
-1.0 	 0.5013 	 0.454 	 -2.903 	 -2.448
-1.0 	 0.5013 	 0.826 	 -5.665 	 -4.839
-1.0 	 0.5013 	 0.837 	 -6.084 	 -5.247
-1.0 	 0.5013 	 0.858 	 -9.951 	 -9.093
-1.0 	 0.5013 	 0.725 	 -5.706 	 -4.981
-1.0 	 0.5013 	 0.668 	 -3.829 	 -3.161
-1.0 	 0.5013 	 0.629 	 -3.485 	 -2.856
-1.0 	 0.5013 	 0.617 	 -2.811 	 -2.194
-1.0 	 0.5013 	 0.624 	 -0.654 	 -0.03
-1.0 	 0.5013 	 0.634 	 -0.401 	 0.233
-1.0 	 0.5013 	 0.586 	 -0.27 	 0.316
-1.0 	 0.5013 	 0.614 	 -1.186 	 -0.572
-1.0 	 0.5013 	 0.578 	 -1.555 	 -0.977
-1.0 	 0.5013 	 0.559 	 -1.772 	 -1.213
-1.0 	 0.5013 	 0.572 	 -1.792 	 -1.22
-1.0 	 0.5013 	 0.549 	 -1.887 	 -1.338
-1.0 	 0.5013 	 0.64 	 2.345 	 2.986
-1.0 	 0.5013 	 0.525 	 -0.768 	 -0.243
-1.0 	 0.5013 	 0.885 	 8.064 	 8.95
-1.0 	 0.5013 	 0.723 	 4.733 	 5.456
-1.0 	 0.5013 	 0.615 	 -1.517 	 -0.902
-1.0 	 0.5013 	 0.624 	 -3.746 	 -3.122
-1.0 	 0.5013 	 0.661 	 -4.013 	 -3.352
-1.0 	 0.5013 	 0.693 	 -4.204 	 -3.511
-1.0 	 0.5013 	 0.645 	 -4.439 	 -3.794
-1.0 	 0.5013 	 0.67 	 -5.268 	 -4.598
-1.0 	 0.5013 	 0.64 	 -3.562 	 -2.922
-1.0 	 0.5013 	 0.625 	 -3.564 	 -2.94
-1.0 	 0.5013 	 0.616 	 -1.83 	 -1.215
-1.0 	 0.5013 	 0.614 	 -0.653 	 -0.038
-1.0 	 0.5013 	 0.597 	 -1.117 	 -0.521
-1.0 	 0.5013 	 0.656 	 2.527 	 3.183
-1.0 	 0.5013 	 0.57 	 -0.783 	 -0.213
-1.0 	 0.5013 	 0.67 	 4.3 	 4.97
-1.0 	 0.5013 	 0.612 	 0.298 	 0.91
-1.0 	 0.5013 	 0.636 	 -0.176 	 0.46
-1.0 	 0.5013 	 0.601 	 -1.545 	 -0.944
-1.0 	 0.5013 	 0.607 	 -2.242 	 -1.635
-1.0 	 0.5013 	 0.616 	 -2.371 	 -1.755
-1.0 	 0.5013 	 0.6 	 -1.555 	 -0.956
-1.0 	 0.5013 	 0.6 	 -2.93 	 -2.331
-1.0 	 0.5013 	 0.59 	 -3.106 	 -2.516
-1.0 	 0.5013 	 0.587 	 -1.776 	 -1.188
-1.0 	 0.5013 	 0.579 	 -1.719 	 -1.14
-1.0 	 0.5013 	 0.603 	 -0.408 	 0.195
